sample	plant	soil	site	location	wt	grp1	grp2	grp3	grp4	grp5	ID	Soil	Plant	Tray	Date	Week	Presence	Leaves	Flowering	Adj.Week	root.length	root.dry	shoot.height	plant.height	shoot.wet	shoot.root	shoot.dry	plant.moist	pm.percent	lat_lon	plot
f-ns-pla-hop-4	Plantago	Nonserpentine	HOP	field	0.18	pla.nonserp	f.nonserp	f.pla	f.pla.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.98367, -123.06842"	14
f-ns-pla-hop-5	Plantago	Nonserpentine	HOP	field	0.35	pla.nonserp	f.nonserp	f.pla	f.pla.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.98367, -123.06842"	14
f-s-hop-1	Bulk	Serpentine	HOP	field	0.24	bulk.serp	f.serp	f.bulk	f.bulk.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.98578, -123.06827"	13
f-s-pla-hop-10	Plantago	Serpentine	HOP	field	0.13	pla.serp	f.serp	f.pla	f.pla.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.98578, -123.06827"	13
f-s-pla-hop-6	Plantago	Serpentine	HOP	field	0.09	pla.serp	f.serp	f.pla	f.pla.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.98578, -123.06827"	13
f-s-pla-hop-7	Plantago	Serpentine	HOP	field	0.09	pla.serp	f.serp	f.pla	f.pla.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.98578, -123.06827"	13
f-s-pla-hop-8	Plantago	Serpentine	HOP	field	0.16	pla.serp	f.serp	f.pla	f.pla.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.98578, -123.06827"	13
f-s-pla-hop-9	Plantago	Serpentine	HOP	field	0.14	pla.serp	f.serp	f.pla	f.pla.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.98578, -123.06827"	13
f-s-pla-hop-1	Plantago	Serpentine	HOP	field	0.15	pla.serp	f.serp	f.pla	f.pla.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.98663, -123.06954"	11
f-s-pla-hop-2	Plantago	Serpentine	HOP	field	0.19	pla.serp	f.serp	f.pla	f.pla.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.98663, -123.06954"	11
f-s-pla-hop-3	Plantago	Serpentine	HOP	field	0.33	pla.serp	f.serp	f.pla	f.pla.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.98663, -123.06954"	11
f-s-pla-hop-4	Plantago	Serpentine	HOP	field	0.19	pla.serp	f.serp	f.pla	f.pla.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.98663, -123.06954"	11
f-s-pla-hop-5	Plantago	Serpentine	HOP	field	0.14	pla.serp	f.serp	f.pla	f.pla.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.98663, -123.06954"	11
f-ns-hop-1	Bulk	Nonserpentine	HOP	field	0.26	bulk.nonserp	f.nonserp	f.bulk	f.bulk.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.99043, -123.06832"	15
f-ns-pla-hop-10	Plantago	Nonserpentine	HOP	field	0.39	pla.nonserp	f.nonserp	f.pla	f.pla.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.99043, -123.06832"	15
f-ns-pla-hop-6	Plantago	Nonserpentine	HOP	field	0.12	pla.nonserp	f.nonserp	f.pla	f.pla.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.99043, -123.06832"	15
f-ns-pla-hop-7	Plantago	Nonserpentine	HOP	field	0.26	pla.nonserp	f.nonserp	f.pla	f.pla.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.99043, -123.06832"	15
f-ns-pla-hop-8	Plantago	Nonserpentine	HOP	field	0.16	pla.nonserp	f.nonserp	f.pla	f.pla.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.99043, -123.06832"	15
f-ns-pla-hop-9	Plantago	Nonserpentine	HOP	field	0.13	pla.nonserp	f.nonserp	f.pla	f.pla.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.99043, -123.06832"	15
f-s-gil-hop-1	Gilia	Serpentine	HOP	field	0.63	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"39.00253, -123.08002"	12
f-s-gil-hop-10	Gilia	Serpentine	HOP	field	0.65	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"39.00253, -123.08002"	12
f-s-gil-hop-11	Gilia	Serpentine	HOP	field	0.19	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"39.00253, -123.08002"	12
f-s-gil-hop-12	Gilia	Serpentine	HOP	field	0.11	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"39.00253, -123.08002"	12
f-s-gil-hop-13	Gilia	Serpentine	HOP	field	0.38	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"39.00253, -123.08002"	12
f-s-gil-hop-14	Gilia	Serpentine	HOP	field	0.25	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"39.00253, -123.08002"	12
f-s-gil-hop-15	Gilia	Serpentine	HOP	field	0.19	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"39.00253, -123.08002"	12
f-s-gil-hop-2	Gilia	Serpentine	HOP	field	0.12	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"39.00253, -123.08002"	12
f-s-gil-hop-3	Gilia	Serpentine	HOP	field	0.16	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"39.00253, -123.08002"	12
f-s-gil-hop-4	Gilia	Serpentine	HOP	field	0.15	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"39.00253, -123.08002"	12
f-s-gil-hop-5	Gilia	Serpentine	HOP	field	0.15	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"39.00253, -123.08002"	12
f-s-gil-hop-6	Gilia	Serpentine	HOP	field	0.17	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"39.00253, -123.08002"	12
f-s-gil-hop-7	Gilia	Serpentine	HOP	field	0.25	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"39.00253, -123.08002"	12
f-s-gil-hop-8	Gilia	Serpentine	HOP	field	0.19	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"39.00253, -123.08002"	12
f-s-gil-hop-9	Gilia	Serpentine	HOP	field	0.4	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"39.00253, -123.08002"	12
f-s-hop-2	Bulk	Serpentine	HOP	field	0.21	bulk.serp	f.serp	f.bulk	f.bulk.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"39.00253, -123.08002"	12
